brand,carName,carImg,saleVolume,min_price,max_price,manufacturer,rank,carModel,energyType,marketTime,over_score,appearance_score,interior_score,configure_score,spatial_score,comfort_score,manipulating_score,motivation_score,comprehensive_evaluation
特斯拉,Model Y,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6180aeadc5934c81906060f03bc651ff~tplv-resize:640:0.png,60055,25.89,36.39,特斯拉中国,1,中型SUV,纯电动,2023.1,4.04,4.30,3.46,3.70,4.40,4.09,4.17,4.19,"['整体空间出色（343）', '动力十足（230）', '操控出色（193）', '驾驶体验良好（137）', '后备厢空间大（99）', '储物空间合理（85）', '配置实用（77）', '动力响应灵敏（63）', '续航表现优秀（61）', '车机操作流畅（51）', '音响品质好（47）', '充电时间较短（40）', '乘坐感受比较差（63）', '漆面薄（43）', '有异响（40）', '悬挂表现不理想（37）', '续航表现较差（36）', '底盘表现不理想（29）', '隔音差（28）', '配置鸡肋（23）', '悬架跳动明显（21）', '新车异味较大（19）', '胎噪大（16）', '后排空间小（12）']"
日产,轩逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,48385,7.86,15.99,东风日产,2,紧凑型车,汽油,2024.01,3.52,3.78,3.34,3.07,3.97,3.55,3.47,3.43,"['乘坐感受还可以（351）', '油耗低（351）', '整体空间出色（335）', '动力输出平顺（112）', '动力十足（108）', '后排空间大（95）', '外观时尚（67）', '驾驶体验良好（65）', '动力响应灵敏（62）', '后备厢空间大（59）', '保养费用低（52）', '动力中规中矩（130）', '动力不足（164）', '漆面薄（122）', '动力响应不灵敏（120）', '隔音差（73）', '配置低（70）', '有异响（60）', '胎噪大（32）', '整体配置一般（30）', '内饰材质较差（26）', '油耗高（26）', '风噪大（21）', '新车异味较大（21）']"
比亚迪,海鸥,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fc1c09863a48441d86e99c757790ab02~tplv-resize:640:0.png,41012,7.38,8.98,比亚迪,3,小型车,纯电动,2023.04,3.32,3.85,3.36,3.20,3.22,3.17,3.26,3.20,"['驾驶体验良好（20）', '整体空间出色（16）', '操控出色（12）', '动力十足（11）', '配置丰富（9）', '后排空间大（6）', '续航表现优秀（6）', '外观时尚（4）', '配置实用（4）', '动力响应灵敏（3）', '内饰质感不错（2）', '储物空间合理（2）', '配置鸡肋（10）', '胎噪大（9）', '新车异味较大（7）', '后备厢空间小（5）', '隔音差（4）', '悬架跳动明显（3）', '配置低（2）', '内饰材质较差（1）', '储物空间较少（1）', '后排空间小（1）', '前排乘坐不舒适（1）', '空间局促（1）']"
大众,朗逸,https://p9-dcd.byteimg.com/img/motor-mis-img/28d677a5f94a5a24103f088dd94c8515~tplv-resize:640:0.png,38760,7.09,12.29,上汽大众,4,紧凑型车,汽油,2023.09,3.63,4.19,3.28,3.23,3.66,3.67,3.69,3.69,"['整体空间出色（267）', '动力十足（225）', '油耗低（201）', '后备厢空间大（140）', '操控出色（88）', '底盘调校好（71）', '外观大气（69）', '外观耐看（62）', '后排空间大（61）', '驾驶体验良好（58）', '乘坐感受还可以（49）', '动力中规中矩（76）', '内饰材质较差（132）', '动力响应不灵敏（126）', '动力不足（107）', '后排地台隆起（96）', '有异响（74）', '配置低（69）', '隔音差（44）', '乘坐感受比较差（28）', '配置鸡肋（27）', '变速箱换挡顿挫（24）', '油耗高（24）', '内饰用料普通（23）']"
大众,速腾,https://p3-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,34920,8.99,13.49,一汽-大众,5,紧凑型车,汽油,2022.06,3.70,3.88,3.62,3.34,3.93,3.69,3.69,3.70,"['动力十足（374）', '整体空间出色（359）', '油耗低（175）', '底盘调校好（118）', '后备厢空间大（113）', '驾驶体验良好（107）', '后排空间大（104）', '动力响应灵敏（99）', '操控出色（98）', '配置丰富（77）', '乘坐感受还可以（61）', '动力中规中矩（78）', '后排地台隆起（140）', '胎噪大（136）', '有异响（129）', '油耗高（58）', '配置低（54）', '变速箱换挡顿挫（48）', '动力响应不灵敏（47）', '乘坐感受比较差（40）', '隔音差（39）', '动力不足（39）', '配置鸡肋（36）', '车机卡顿严重（22）']"
比亚迪,元PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,30799,12.78,16.08,比亚迪,6,紧凑型SUV,纯电动,2023.09,3.76,4.23,3.47,3.66,3.81,3.72,3.71,3.73,"['动力十足（133）', '整体空间出色（104）', '驾驶体验良好（96）', '续航表现优秀（51）', '操控出色（40）', '底盘调校好（40）', '内饰好看（37）', '配置丰富（37）', '动力响应灵敏（35）', '乘坐感受还可以（33）', '配置实用（30）', '后排空间大（25）', '风噪大（25）', '后备厢空间小（24）', '续航表现较差（24）', '配置鸡肋（23）', '有异响（22）', '胎噪大（15）', '储物空间较少（12）', '刹车表现较差（10）', '新车异味较大（9）', '配置低（9）', '操控感较差（9）', '底盘调校偏软（9）']"
比亚迪,宋PLUS DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f9d266bdf7d44b418eee09141be33ec0~tplv-resize:640:0.png,30525,14.48,20.88,比亚迪,7,紧凑型SUV,插电式混合动力,2023.06,3.85,4.26,3.74,3.87,3.97,3.71,3.66,3.76,"['整体空间出色（697）', '动力十足（443）', '油耗低（408）', '配置丰富（241）', '后排空间大（207）', '驾驶体验良好（201）', '静谧性强（198）', '动力响应灵敏（193）', '乘坐感受还可以（159）', '配置实用（149）', '动力输出平顺（137）', '续航表现优秀（128）', '后备厢空间小（552）', '胎噪大（112）', '底盘表现不理想（93）', '有异响（85）', '新车异味较大（65）', '配置鸡肋（65）', '悬挂表现不理想（64）', '刹车表现较差（63）', '底盘调校偏软（62）', '续航表现较差（50）', '储物空间较少（49）', '油耗高（39）']"
比亚迪,秦PLUS DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,27956,8.98,13.58,比亚迪,8,紧凑型车,插电式混合动力,2023.02,3.67,4.04,3.70,3.56,3.69,3.57,3.55,3.58,"['动力十足（636）', '油耗低（484）', '动力响应灵敏（209）', '整体空间出色（187）', '动力输出平顺（152）', '驾驶体验良好（148）', '静谧性强（119）', '配置丰富（114）', '续航表现优秀（111）', '配置实用（84）', '操控出色（84）', '外观耐看（76）', '胎噪大（218）', '有异响（108）', '底盘表现不理想（106）', '隔音差（84）', '悬挂表现不理想（83）', '乘坐感受比较差（73）', '后排空间小（57）', '刹车表现较差（42）', '风噪大（41）', '配置低（39）', '续航表现较差（38）', '油耗高（37）']"
大众,迈腾,https://p9-dcd.byteimg.com/img/motor-mis-img/89991e9322440768e5f67b551d6e7ee5~tplv-resize:640:0.png,27826,14.99,21.69,一汽-大众,9,中型车,汽油,2022.1,3.91,4.11,3.57,3.61,4.40,3.91,3.88,3.90,"['动力十足（419）', '整体空间出色（348）', '后排空间大（135）', '操控出色（99）', '动力响应灵敏（86）', '外观大气（85）', '油耗低（82）', '驾驶体验良好（79）', '配置丰富（72）', '后备厢空间大（65）', '底盘调校好（55）', '动力中规中矩（44）', '有异响（106）', '变速箱换挡顿挫（79）', '胎噪大（50）', '乘坐感受比较差（50）', '后排地台隆起（45）', '配置低（39）', '油耗高（37）', '城市油耗高（30）', '隔音差（27）', '新车异味较大（19）', '配置鸡肋（19）', '储物空间较少（18）']"
比亚迪,宋Pro DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/91291cb770c44932a3f6c14feedc82b3~tplv-resize:640:0.png,27812,12.18,15.58,比亚迪,10,紧凑型SUV,插电式混合动力,2023.09,3.81,4.03,3.80,3.82,3.88,3.71,3.70,3.72,"['整体空间出色（220）', '动力十足（186）', '驾驶体验良好（83）', '配置丰富（80）', '油耗低（79）', '动力响应灵敏（55）', '内饰好看（53）', '动力输出平顺（53）', '后排空间大（50）', '配置实用（46）', '乘坐感受还可以（41）', '续航表现优秀（33）', '后备厢空间小（110）', '胎噪大（66）', '风噪大（37）', '底盘表现不理想（36）', '隔音差（30）', '悬挂表现不理想（23）', '有异响（23）', '充电时间较长（21）', '新车异味较大（19）', '悬架跳动明显（17）', '配置鸡肋（15）', '发动机噪音明显（15）']"
